link,título,endereco,área,quartos,garagens,aluguel,total
https://www.quintoandar.com.br/imovel/894635073/alugar/apartamento-1-quarto-centro-curitiba?from_route=%22profiling%22&house_tags=rentPriceDecreased&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A0%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 1 quarto, 38m² em Centro, Curitiba","Centro, Curitiba, Rua Benjamin Constant",38,1,0,2.240,2.868
https://www.quintoandar.com.br/imovel/893088167/alugar/apartamento-3-quartos-centro-curitiba?from_route=%22profiling%22&house_tags=exclusivity&house_tags=rentOnTermination&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A1%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 3 quartos, 140m² em Centro, Curitiba","Centro, Curitiba, Rua Desembargador Ermelino de Leão",140,3,1,2.200,2.455
https://www.quintoandar.com.br/imovel/894889088/alugar/casa-2-quartos-umbara-curitiba?from_route=%22profiling%22&house_tags=newAd&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2%2C%22personalization%22%3Afalse%7D,"Casa para alugar com 2 quartos, 80m² em Umbará, Curitiba","Umbará, Curitiba, Rua Guilherme Mehl",80,2,1,2.100,2.260
https://www.quintoandar.com.br/imovel/893519763/alugar/apartamento-2-quartos-cachoeira-curitiba?from_route=%22profiling%22&house_tags=rentOnTermination&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A3%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 2 quartos, 50m² em Cachoeira, Curitiba","Cachoeira, Curitiba, Rua David Bodziak",50,2,1,1.550,1.922
https://www.quintoandar.com.br/imovel/893096723/alugar/apartamento-1-quarto-bairro-alto-curitiba?from_route=%22profiling%22&house_tags=rentOnTermination&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A4%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 1 quarto, 34m² em Bairro Alto, Curitiba","Bairro Alto, Curitiba, Rua Luiz Barreto Murat",34,1,1,1.480,1.679
https://www.quintoandar.com.br/imovel/893096707/alugar/apartamento-1-quarto-bairro-alto-curitiba?from_route=%22profiling%22&house_tags=exclusivity&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A5%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 1 quarto, 34m² em Bairro Alto, Curitiba","Bairro Alto, Curitiba, Rua Luiz Barreto Murat",34,1,1,1.480,1.669
https://www.quintoandar.com.br/imovel/894410785/alugar/apartamento-1-quarto-centro-curitiba?from_route=%22profiling%22&house_tags=rentOnTermination&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A6%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 1 quarto, 24m² em Centro, Curitiba","Centro, Curitiba, Rua Doutor Faivre",24,1,0,1.880,2.529
https://www.quintoandar.com.br/imovel/893687795/alugar/apartamento-3-quartos-guaira-curitiba?from_route=%22profiling%22&house_tags=exclusivity&house_tags=rentOnTermination&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A7%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 3 quartos, 75m² em Guaíra, Curitiba","Guaíra, Curitiba, Rua Assis Figueiredo",75,3,1,2.000,2.505
https://www.quintoandar.com.br/imovel/893234924/alugar/apartamento-2-quartos-abranches-curitiba?from_route=%22profiling%22&house_tags=exclusivity&house_tags=rentOnTermination&house_tags=rentPriceDecreased&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A8%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 2 quartos, 65m² em Abranches, Curitiba","Abranches, Curitiba, Rua José Bajerski",65,2,1,1.600,2.027
https://www.quintoandar.com.br/imovel/893059287/alugar/apartamento-1-quarto-portao-curitiba?from_route=%22profiling%22&house_tags=exclusivity&house_tags=rentOnTermination&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A9%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 1 quarto, 35m² em Portão, Curitiba","Portão, Curitiba, Avenida República Argentina",35,1,0,1.800,2.236
https://www.quintoandar.com.br/imovel/893748655/alugar/apartamento-2-quartos-augusta-curitiba?from_route=%22profiling%22&house_tags=exclusivity&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A10%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 2 quartos, 54m² em Augusta, Curitiba","Augusta, Curitiba, Rua Synval Stocchero",54,2,1,1.420,1.780
https://www.quintoandar.com.br/imovel/894454218/alugar/apartamento-2-quartos-centro-curitiba?from_route=%22profiling%22&house_tags=rentOnTermination&search_id=%22c6657eee-c26a-48d2-89e0-302ff530b4c3%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A11%2C%22personalization%22%3Afalse%7D,"Apartamento para alugar com 2 quartos, 70m² em Centro, Curitiba","Centro, Curitiba, Rua Doutor Pedrosa",70,2,2,5.800,7.006
